model,overall_accuracy,sat_accuracy,unsat_accuracy,prediction_accuracy,certificate_validity,correct_and_valid_rate,SAT,UNSAT,sat_cert_valid_predicted_sat,unsat_cert_valid_predicted_unsat,parse_warnings
Base,0.5,0.0,1.0,0.5,0.0,0.0,0,40,0.0,0.0,40
SFT,0.675,0.4,0.95,0.675,0.3,0.3,9,31,0.4444444444444444,0.25806451612903225,23
